manufacturer,model,fuel,transmission,drive,size,type,state
,escalade esv premium,,,,,,
,g37 sedan,,,,,,
,outback,,,,,,
,rx 450h,,,,,,
,f150 lariat 4wd,,,,,,
,grand cherokee trailhawk,,,,,,
,f150 xlt 4wd,,,,,,
,avenger r/t,,,,,,
,7 series,,,,,,
,2,,,,,,
,tucson,,,,,,
,deville,,,,,,
,traverse l t,,,,,,
,cooper countryman s,,,,,,
,cooper hardtop s,,,,,,
,escape se,,,,,,
,camry se,,,,,,
,accord sport,,,,,,
,ls,,,,,,
,explorer limited,,,,,,
,v70 wagon,,,,,,
,rogue s suv,,,,,,
,f150 lariat,,,,,,
,explorer limited suv,,,,,,
,blazer lt,,,,,,
,equinox lt,,,,,,
,tundra crewmax,,,,,,
,f150 stx,,,,,,
,expedition xlt,,,,,,
,benz glk 350,,,,,,
,acadia sle,,,,,,
,fusion hybrid se,,,,,,
,camry solara convertible,,,,,,
,dts,,,,,,
,five hundred,,,,,,
,grand cherokee limited,,,,,,
,fusion se sedan,,,,,,
,ecosport titanium,,,,,,
,tacoma access cab sr,,,,,,
,escape sel,,,,,,
,silverado 1500 lt 4x4,,,,,,
,genesis coupe 2.0t,,,,,,
,escape s,,,,,,
,f150 platinum,,,,,,
,soul + wagon 4d,,,,,,
,spectra,,,,,,
,expedition,,,,,,
,avenger,,,,,,
,challenger sxt,,,,,,
,accord sedan lx,,,,,,
,highlander xle,,,,,,
,tacoma access cab sr5,,,,,,
,focus se,,,,,,
,express 2500,,,,,,
,impala premier,,,,,,
,econoline cargo,,,,,,
,escape titanium,,,,,,
,grand caravan se,,,,,,
,acadia slt,,,,,,
,wrangler unlimited,,,,,,
,f800,,,,,,
,crown victoria police,,,,,,
,escalade 4wd,,,,,,
,qx60,,,,,,
,town & country touring,,,,,,
,sonata limited sedan 4d,,,,,,
,yukon xl slt,,,,,,
,terrain slt 2wd,,,,,,
,escape se 4wd,,,,,,
,cherokee latitude 2wd,,,,,,
,town and country,,,,,,
,genesis coupe 3.8,,,,,,
,4wd z71,,,,,,
,mustang ecoboost coupe 2d,,,,,,
,malibu lt,,,,,,
,sonoma sls,,,,,,
,quest s,,,,,,
,sonata limited,,,,,,
,pilot ex,,,,,,
,fpace,,,,,,
,discovery se,,,,,,
,taurus police interceptor,,,,,,
,promaster 2500,,,,,,
,impreza 2.0i premium,,,,,,
,ilx sedan 4d,,,,,,
,ranger xl,,,,,,
,escape xlt,,,,,,
,mx5 miata,,,,,,
,rsx,,,,,,
,f450 super duty,,,,,,
,thunderbird deluxe,,,,,,
,cts sedan,,,,,,
,mustang gt,,,,,,
,flex,,,,,,
,frontier king cab s,,,,,,
,silverado 3500hd cc,,,,,,
,dakota,,,,,,
,sierra 1500 sle,,,,,,
,silverado 3500,,,,,,
,odyssey touring elite,,,,,,
,3 series 335i,,,,,,
,solstice,,,,,,
,forrester,,,,,,
,cruze limited ltz,,,,,,
,xts platinum,,,,,,
,q5,,,,,,
,accord se,,,,,,
,tacoma double cab sr5,,,,,,
,f150 supercrew limited,,,,,,
,rdx technology,,,,,,
,beetle convertible,,,,,,
,excursion limited,,,,,,
,ls 460,,,,,,
,maxima s sedan 4d,,,,,,
,sierra 3500,,,,,,
,civic lx,,,,,,
,impreza 2.5i,,,,,,
,g37s coupe,,,,,,
,passport elite,,,,,,
,s10 pickup,,,,,,
,m35,,,,,,
,a4,,,,,,
,clk350,,,,,,
,370z,,,,,,
,optima sx turbo,,,,,,
,m37,,,,,,
,focus st,,,,,,
,b2300,,,,,,
,edge sport,,,,,,
,200 limited,,,,,,
,tsx sedan 4d,,,,,,
,pacifica touringl,,,,,,
,tiguan,,,,,,
,xlr,,,,,,
,rdx awd,,,,,,
,mazda3 4door,,,,,,
,accord lx,,,,,,
,pilot exl,,,,,,
,eclipse cross es,,,,,,
,sentra sv sedan 4d,,,,,,
